,name,conference,attendance,score,home,precipitation,snowfall,snow depth,max temp,min temp,avg wind speed,winner
1155,Fresno State Bulldogs,Mountain West,0,40,0,0,0,0,69.08000000000001,39.92,,Win
1156,California Golden Bears,Pac-12,0,42,1,0,0,0,64.03999999999999,51.08,,Win
1157,Pittsburgh Panthers,ACC,0,34,1,0,0,0,,,,Win
1158,Cincinnati Bearcats,American,0,22,1,0,0,0,50.0,44.06,,Lose
1159,Appalachian State Mountaineers,Sun Belt,8398,49,0,0,0,0,80.06,55.94,,Win
1160,Iowa Hawkeyes,Big Ten,0,20,1,0,0,0,55.94,41.0,,Lose
1161,Missouri Tigers,SEC,0,41,1,0,0,0,57.019999999999996,42.08,36,Win
1162,Clemson Tigers,ACC,0,37,1,0,0,0,80.96000000000001,57.92,,Win
1163,Kent State Golden Flashes,Mid-American,0,3,1,0,0,0,55.040000000000006,39.92,,Lose
1164,Ohio Bobcats,Mid-American,0,38,1,0,0,0,51.980000000000004,46.04,,Win
1165,New Mexico Lobos,Mountain West,36390,25,1,0,0,0,66.92,48.019999999999996,28,Lose
1166,USC Trojans,Pac-12,0,55,1,0,0,0,71.96000000000001,53.96,7,Win
1167,Oklahoma State Cowboys,Big 12,0,28,1,0,0,0,71.42,52.519999999999996,66,Lose
1168,Alabama Crimson Tide,SEC,0,35,1,0,0,0,69.08000000000001,33.98,11,Win
1169,LSU Tigers,SEC,0,56,1,0,0,0,77.0,41.0,21,Win
1170,Stanford Cardinal,Pac-12,0,27,1,0,0,0,71.96000000000001,51.980000000000004,,Lose
1171,Florida State Seminoles,ACC,0,35,1,0,0,0,73.03999999999999,37.04,18,Win
1172,Penn State Nittany Lions,Big Ten,0,33,1,0,0,0,46.94,35.96,,Win
1173,Illinois Fighting Illini,Big Ten,0,24,1,0,0,0,60.980000000000004,33.08,,Lose
1174,Baylor Bears,Big 12,0,0,1,0,0,0,73.94,48.92,40,Lose
1175,Auburn Tigers,SEC,0,27,1,0,0,0,64.94,42.980000000000004,,Win
1176,San Diego State Aztecs,Mountain West,0,20,1,0,0,0,69.08000000000001,57.019999999999996,22,Lose
1177,Northwestern Wildcats,Big Ten,0,17,1,0,0,0,,,,Lose
1178,Hawai'i Rainbow Warriors,Mountain West,0,13,1,0,0,0,78.98,69.08000000000001,,Lose
1179,Tennessee Volunteers,SEC,0,15,1,0,0,0,60.08,30.92,21,Lose
1180,Michigan State Spartans,Big Ten,74063,46,1,0,0,0,51.980000000000004,28.04,,Win
1181,Duke Blue Devils,ACC,0,6,1,0,0,0,55.040000000000006,33.08,,Lose
1182,NC State Wolfpack,ACC,0,21,1,0,0,0,59.0,33.98,,Win
1183,Nebraska Cornhuskers,Big Ten,0,24,1,0,0,0,,,,Lose
1184,Syracuse Orange,ACC,0,16,1,0,0,0,50.0,37.04,29,Lose
1185,Coastal Carolina Chanticleers,Sun Belt,7218,38,1,0,0,0,60.08,35.06,,Win
